CD_NOM;CD_REF;CD_SUP;CD_TYPE_STATUT;LB_TYPE_STATUT;REGROUPEMENT_TYPE;CODE_STATUT;LABEL_STATUT;RQ_STATUT;CD_SIG;CD_DOC;LB_NOM;LB_AUTEUR;NOM_COMPLET_HTML;NOM_VALIDE_HTML;REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;GROUP1_INPN;GROUP2_INPN;LB_ADM_TR;NIVEAU_ADMIN;CD_ISO3166_1;CD_ISO3166_2;FULL_CITATION;DOC_URL;THEMATIQUE;TYPE_VALUE
67478;67478;198470;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;tinca tinca;(Linnaeus, 1758);<i>Tinca tinca</i> (Linnaeus, 1758);<i>Tinca tinca</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Tincidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67304;67304;194072;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;leuciscus idus;(Linnaeus, 1758);<i>Leuciscus idus</i> (Linnaeus, 1758);<i>Leuciscus idus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
107117;107117;194362;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;lythrum salicaria;L., 1753;<i>Lythrum salicaria</i> L., 1753;<i>Lythrum salicaria</i> L., 1753;Plantae;;Equisetopsida;Myrtales;Lythraceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
5502;5502;191239;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;cratoneuron filicinum;(Hedw.) Spruce, 1867;<i>Cratoneuron filicinum</i> (Hedw.) Spruce, 1867;<i>Cratoneuron filicinum</i> (Hedw.) Spruce, 1867;Plantae;;Equisetopsida;Hypnales;Amblystegiaceae;Bryophytes;Mousses;Europe;;;;;;STATUTS;VALUE
5437;5437;433841;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;hygroamblystegium fluviatile;(Hedw.) Loeske, 1903;<i>Hygroamblystegium fluviatile</i> (Hedw.) Loeske, 1903;<i>Hygroamblystegium fluviatile</i> (Hedw.) Loeske, 1903;Plantae;;Equisetopsida;Hypnales;Amblystegiaceae;Bryophytes;Mousses;Europe;;;;;;STATUTS;VALUE
105431;105431;193939;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;lemna minor;L., 1753;<i>Lemna minor</i> L., 1753;<i>Lemna minor</i> L., 1753;Plantae;;Equisetopsida;Alismatales;Araceae;Trachéophytes;Angiospermes;Europe;;;;;;STATUTS;VALUE
81263;81263;188962;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;alisma lanceolatum;With., 1796;<i>Alisma lanceolatum</i> With., 1796;<i>Alisma lanceolatum</i> With., 1796;Plantae;;Equisetopsida;Alismatales;Alismataceae;Trachéophytes;Angiospermes;Europe;;;;;;STATUTS;VALUE
68336;68336;194285;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;lota lota;(Linnaeus, 1758);<i>Lota lota</i> (Linnaeus, 1758);<i>Lota lota</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Gadiformes;Lotidae;Chordés;Poissons;Europe;;;;;;STATUTS;VALUE
109213;109213;931831;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;najas marina;L., 1753;<i>Najas marina</i> L., 1753;<i>Najas marina</i> L., 1753;Plantae;;Equisetopsida;Alismatales;Hydrocharitaceae;Trachéophytes;Angiospermes;Europe;;;;;;STATUTS;VALUE
67220;67220;190755;LRE;Liste rouge européenne;Liste rouge;NT;Quasi menacé;A2ac;EUROPE;;chondrostoma nasus;(Linnaeus, 1758);<i>Chondrostoma nasus</i> (Linnaeus, 1758);<i>Chondrostoma nasus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Europe;;;;;;STATUTS;VALUE
67295;67295;194072;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;leuciscus leuciscus;(Linnaeus, 1758);<i>Leuciscus leuciscus</i> (Linnaeus, 1758);<i>Leuciscus leuciscus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Europe;;;;;;STATUTS;VALUE
67074;67074;188673;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;abramis brama;(Linnaeus, 1758);<i>Abramis brama</i> (Linnaeus, 1758);<i>Abramis brama</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Europe;;;;;;STATUTS;VALUE
67058;67058;191469;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;cyprinus carpio;Linnaeus, 1758;<i>Cyprinus carpio</i> Linnaeus, 1758;<i>Cyprinus carpio</i> Linnaeus, 1758;Animalia;Chordata;Actinopterygii;Cypriniformes;Cyprinidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
