CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdListeFauFlor;LbListeFauFlor;CdTypListeFauFlor;MnTypListeFauFlor;CdTypTaxRep;MnTypTaxRep;CdAppelTaxon;NomLatinAppelTaxon;RsTaxRep;CdRqNbrTaxRep;MnemoRqNbrTaxRep;CdUniteMesure;SymUniteMesure;RefOperationPrelBio;CdProducteur;NomProducteur;CD_NOM;CD_REF;CD_SUP;CD_TYPE_STATUT;LB_TYPE_STATUT;REGROUPEMENT_TYPE;CODE_STATUT;LABEL_STATUT;CD_SIG;LB_AUTEUR;REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;GROUP1_INPN;GROUP2_INPN
3079622;LE RÉVEILLON A VILLECRESNES 2;004;10;Diatomées benthiques;2018-07-20;;03079622;;;1;NbrTax;17937;planothidium lanceolatum;3;1;Domaine de validité;214;n;20190327180827-HB-346454;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;;;;;;;;;;;;;;;;;
3081001;LE RUISSEAU DE RUNGIS A FRESNES 1;004;10;Diatomées benthiques;2021-06-15;;L1;;;1;NbrTax;7116;amphora pediculus;28;1;Domaine de validité;214;n;20220627161516-HB-518480;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF);;;;;;;;;;;;;;;;;
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2005-06-16;GPSL#0;pre_id6954;;;1;NbrTax;2038;anguilla anguilla;28;1;Domaine de validité;214;n;Aspe1544eta2_SurfEchMc1250.00_SBVDKmc12752.00_DSrcKm493.00_LarMEauM90.00_PntCEPM0.10_ProfMStaM2.00_AltM35_TAir1C4.5_TAir7C20.3;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB);66832;66832;970642;LRR;Liste rouge régionale;Liste rouge;VU;Vulnérable;INSEER24;(Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Anguilliformes;Anguillidae;Chordés;Poissons
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2015-06-17;B;B2;;;1;NbrTax;1072;dendrocoelum;1;1;Domaine de validité;0;Unité inconnue;20180130180355-HB-7465;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;;;;;;;;;;;;;;;;;
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2011-07-11;A;B1;;;1;NbrTax;1051;corbicula;26;1;Domaine de validité;0;Unité inconnue;20180130180354-HB-7461;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;;;;;;;;;;;;;;;;;
3079097;L'YERRES A PERIGNY 1;005;4;Poissons;2001-08-28;A3#L#0;pre_id5044;;;1;NbrTax;2131;rhodeus amarus;1;1;Domaine de validité;214;n;Aspe982eta1_2001-08-28_10:00:00_03079097;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB);67420;67420;197167;LRR;Liste rouge régionale;Liste rouge;DD;Données insuffisantes;INSEER74;(Bloch, 1782);Animalia;Chordata;Actinopterygii;Cypriniformes;Acheilognathidae;Chordés;Poissons
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2021-08-02;;L1;;;4;BioVolTax;34957;spermatozopsis similis;0.001168;1;Domaine de validité;536;mm3/L;20220823100212-HB-526415;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;;;;;;;;;;;;;;;;;
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2022-06-16;;L1;;;1;NbrTax;8190;navicula tripunctata;4;1;Domaine de validité;214;n;20230703214652-HB-549802;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;;;;;;;;;;;;;;;;;
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2023-08-01;;L1;;;1;NbrTax;41890;craticula subminuscula;1;1;Domaine de validité;214;n;20240717100432-HB-578708;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE;;;;;;;;;;;;;;;;;
3112430;LA MARNE A MAISONS-ALFORT 2;005;4;Poissons;1998-09-02;A1#L#0;pre_id4765;;;1;NbrTax;2113;gobio gobio;12;1;Domaine de validité;214;n;Aspe936eta1_1998-09-02_14:00:00_03112430;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB);67257;67257;192866;LRN;Liste rouge nationale;Liste rouge;LC;Préoccupation mineure;TERFXFR;(Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Gobionidae;Chordés;Poissons
